Samp,Newhyb Run1?,1_P1_ALB,1_P2_SHB,1_F1,1_F2,1_BCALB,1_BCSHB,Newhybs1_assign,Newhyb Run2?,2_P1_ALB,2_P2_CHB,2_F1,2_F2,2_BCALB,2_BCCHB,Newhybs2_assign,Newhyb Run3?,3_P1_SHB,3_P2_REB,3_F1,3_F2,3_BCSHB,3_BCREB,Newhybs3_assign,No Newhyb?,Final_NH_assign
104_05_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99936,0,0,0.00002,0.00062,0,ALB,,,,,,,,,,ALB
105_05_ALB,1,0.99974,0,0,0,0.00025,0,ALB,2,0.99988,0,0,0,0.00012,0,ALB,,,,,,,,,,ALB
106_05_ALB,1,0.99944,0,0,0,0.00056,0,ALB,2,0.99982,0,0,0,0.00018,0,ALB,,,,,,,,,,ALB
107_05_ALB,1,0.99987,0,0,0,0.00013,0,ALB,2,0.99988,0,0,0,0.00012,0,ALB,,,,,,,,,,ALB
108_05_ALB,1,0.99975,0,0,0,0.00025,0,ALB,2,0.9999,0,0,0,0.0001,0,ALB,,,,,,,,,,ALB
109_05_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99997,0,0,0,0.00003,0,ALB,,,,,,,,,,ALB
110_05_ALB,1,0.99994,0,0,0,0.00006,0,ALB,2,0.9999,0,0,0,0.0001,0,ALB,,,,,,,,,,ALB
111_05_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
112_05_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99972,0,0,0,0.00028,0,ALB,,,,,,,,,,ALB
113_05_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.9999,0,0,0,0.0001,0,ALB,,,,,,,,,,ALB
114_05_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.99995,0,0,0,0.00005,0,ALB,,,,,,,,,,ALB
115_05_ALB,1,0.99976,0,0,0,0.00023,0,ALB,2,0.99989,0,0,0,0.00011,0,ALB,,,,,,,,,,ALB
116_05_ALB,1,0.99962,0,0,0,0.00037,0,ALB,2,0.99992,0,0,0,0.00008,0,ALB,,,,,,,,,,ALB
117_05_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.99962,0,0,0,0.00037,0,ALB,,,,,,,,,,ALB
118_05_ALB,1,0.99988,0,0,0,0.00012,0,ALB,2,0.9999,0,0,0,0.0001,0,ALB,,,,,,,,,,ALB
119_05_ALB,1,0.99985,0,0,0,0.00015,0,ALB,2,0.99995,0,0,0,0.00005,0,ALB,,,,,,,,,,ALB
120_05_ALB,1,0.99992,0,0,0,0.00008,0,ALB,2,0.99984,0,0,0,0.00016,0,ALB,,,,,,,,,,ALB
